Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Petrovski, Angel; Grundy, John; ",Web-enabling an integrated health informatics system,OOIS 2001,,,477-485,2001,Springer London
"Zhao, Dejin; Grundy, John; Hosking, John; ",Generating mobile device user interfaces for diagram-based modelling tools,7th Australasian User interface conference (AUIC2006),,,101-108,2006,"Australian Computer Society, Inc."
"Grundy, John C; ",Experiences with facilitating student learning in a group information systems project course,International Conference on Software Engineering: Education and Practice (SEE&P 1996),,,12-19,1996,IEEE
"Grundy, John; Wei, Zhong; Nicolescu, Radu; Cai, Yuhong; ",An environment for automated performance evaluation of J2EE and ASP. NET thin-client architectures,2004 Australian Software Engineering Conference (ASWEC 2004),,,300-308,2004,IEEE
"Grundy, John; Hosking, John; Mugridge, Warwick; ","Supporting large-scale end user specification of workflows, work coordination and tool integration",Journal of Organizational and End User Computing (JOEUC),10,2,38-48,1998,IGI Global
"Yap, Nelson; Chiong, Hau Chean; Grundy, John; Berrigan, Rebecca; ",Supporting dynamic software tool integration via web service-based components,2005 Australian Software Engineering Conference (ASWEC 2005),,,160-169,2005,IEEE
"Grundy, John C; Hosking, John G; Mugridge, Warwick B; Amor, Robert W; ",Support for constructing environments with multiple views,2nd international software architecture workshop (ISAW-2) and international workshop on multiple perspectives in software development (Viewpoints' 96) on SIGSOFT'96 workshops,,,212-216,1996,ACM
"Grundy, John; ",A method and support environment for distributed software component engineering,International Conference on Software Methods and Tools. (SMT 2000),,,157-166,2000,IEEE
"Hosking, John; Mehandjiev, Nikolay; Grundy, John; ",A domain specific visual language for design and coordination of supply networks,2008 IEEE Symposium onVisual Languages and Human-Centric Computing (VL/HCC 2008),,,109-112,2008,IEEE
"Grundy, John; Hosking, John; ",Directions in modelling large-scale software architectures,International Conference on Software Methods and Tools. (SMT 2000),,,31-40,2000,IEEE
"Wang, Yang; Singh, Santokh; Hosking, John; Grundy, John; ",An aspect-oriented UML tool for software development with early aspects,2006 international workshop on Early aspects at ICSE,,,51-58,2006,ACM
"Hirsch, Christian; Grundy, John; Hosking, John; ",Thinkbase: A visual semantic wiki,Proceedings of the 2007 International Conference on Posters and Demonstrations-Volume 401,,,118-119,2008,CEUR-WS. org
"Liu, Na; Hosking, John; Grundy, John; ",A visual language and environment for specifying user interface event handling in design tools,8th Australasian conference on User interfaces (AUIC 2007),,,87-94,2007,"Australian Computer Society, Inc."
"Grundy, John C; Hosking, John G; ",Software environment support for integrated formal program specification and development,1995 Asia Pacific Software Engineering Conference (APSEC 1995),,,264-273,1995,IEEE
"Grundy, John C; Hosking, John G; Mugridge, Warwick B; ",Towards a unified event-based software architecture,2nd international software architecture workshop (ISAW-2),,,121-125,1996,ACM
"Dai, Xiaoling; Chaudhary, Kaylash; Grundy, John; ",Comparing and Contrasting Micro-payment Models for Content Sharing in P2P Networks,Third International IEEE Conference on Signal-Image Technologies and Internet-Based System (SITIS'07),,,347-354,2007,IEEE
"Liu, Na; Hosking, John; Grundy, John; ",A visual language and environment for specifying design tool event handling,2005 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC 2005),,,278-280,2005,IEEE
